"Date","Price","Open","High","Low","Change %"
"Oct 25, 2024","13.394","13.394","13.394","13.394","0.04%"
"Oct 24, 2024","13.389","13.389","13.389","13.389","0.05%"
"Oct 23, 2024","13.382","13.382","13.382","13.382","-0.55%"
"Oct 22, 2024","13.456","13.456","13.456","13.456","0.06%"
"Oct 21, 2024","13.448","13.448","13.448","13.448","-0.55%"
"Oct 18, 2024","13.522","13.522","13.522","13.522","0.42%"
"Oct 17, 2024","13.465","13.465","13.465","13.465","0.48%"
"Oct 16, 2024","13.401","13.401","13.401","13.401","0.11%"
"Oct 15, 2024","13.386","13.386","13.386","13.386","-1.47%"
"Oct 14, 2024","13.586","13.586","13.586","13.586","0.39%"
"Oct 11, 2024","13.533","13.533","13.533","13.533","0.82%"
"Oct 10, 2024","13.423","13.423","13.423","13.423","0.07%"
"Oct 09, 2024","13.414","13.414","13.414","13.414","1.19%"
"Oct 07, 2024","13.256","13.256","13.256","13.256","-0.16%"
"Oct 04, 2024","13.276","13.276","13.276","13.276","0.78%"
"Oct 03, 2024","13.173","13.173","13.173","13.173","-0.44%"
"Oct 02, 2024","13.231","13.231","13.231","13.231","0.19%"
"Oct 01, 2024","13.207","13.207","13.207","13.207","-0.67%"
"Sep 30, 2024","13.296","13.296","13.296","13.296","-0.93%"
"Sep 26, 2024","13.420","13.420","13.420","13.420","1.78%"
"Sep 25, 2024","13.186","13.186","13.186","13.186","-0.35%"
"Sep 24, 2024","13.233","13.233","13.233","13.233","0.53%"
"Sep 23, 2024","13.163","13.163","13.163","13.163","0.40%"
"Sep 20, 2024","13.111","13.111","13.111","13.111","-0.76%"
"Sep 19, 2024","13.211","13.211","13.211","13.211","1.67%"
"Sep 18, 2024","12.994","12.994","12.994","12.994","-0.60%"
"Sep 17, 2024","13.072","13.072","13.072","13.072","0.06%"
"Sep 16, 2024","13.064","13.064","13.064","13.064","-0.39%"
"Sep 13, 2024","13.116","13.116","13.116","13.116","0.14%"
"Sep 12, 2024","13.097","13.097","13.097","13.097","1.04%"
"Sep 11, 2024","12.962","12.962","12.962","12.962","0.92%"
"Sep 10, 2024","12.844","12.844","12.844","12.844","0.10%"
"Sep 09, 2024","12.831","12.831","12.831","12.831","0.83%"
