"Date","Price","Open","High","Low","Change %"
"Oct 24, 2024","7.241","7.241","7.241","7.241","-0.20%"
"Oct 23, 2024","7.256","7.256","7.256","7.256","-0.23%"
"Oct 22, 2024","7.272","7.272","7.272","7.272","-0.12%"
"Oct 21, 2024","7.281","7.281","7.281","7.281","-0.48%"
"Oct 18, 2024","7.316","7.316","7.316","7.316","0.41%"
"Oct 17, 2024","7.286","7.286","7.286","7.286","0.02%"
"Oct 16, 2024","7.284","7.284","7.284","7.284","-0.21%"
"Oct 15, 2024","7.300","7.300","7.300","7.300","-1.47%"
"Oct 14, 2024","7.409","7.409","7.409","7.409","0.83%"
"Oct 11, 2024","7.348","7.348","7.348","7.348","0.77%"
"Oct 10, 2024","7.292","7.292","7.292","7.292","-0.10%"
"Oct 09, 2024","7.299","7.299","7.299","7.299","0.92%"
"Oct 08, 2024","7.232","7.232","7.232","7.232","0.94%"
"Oct 07, 2024","7.165","7.165","7.165","7.165","-0.29%"
"Oct 04, 2024","7.185","7.185","7.185","7.185","0.52%"
"Oct 03, 2024","7.148","7.148","7.148","7.148","-0.10%"
"Oct 02, 2024","7.155","7.155","7.155","7.155","0.36%"
"Oct 01, 2024","7.129","7.129","7.129","7.129","-0.05%"
"Sep 30, 2024","7.133","7.133","7.133","7.133","-0.39%"
"Sep 27, 2024","7.161","7.161","7.161","7.161","-0.24%"
"Sep 26, 2024","7.178","7.178","7.178","7.178","1.66%"
"Sep 25, 2024","7.061","7.061","7.061","7.061","-0.65%"
"Sep 24, 2024","7.107","7.107","7.107","7.107","0.30%"
"Sep 23, 2024","7.085","7.085","7.085","7.085","0.52%"
"Sep 20, 2024","7.049","7.049","7.049","7.049","-0.72%"
"Sep 19, 2024","7.100","7.100","7.100","7.100","1.27%"
"Sep 18, 2024","7.011","7.011","7.011","7.011","-0.46%"
"Sep 17, 2024","7.043","7.043","7.043","7.043","-0.15%"
"Sep 16, 2024","7.054","7.054","7.054","7.054","-0.29%"
"Sep 13, 2024","7.074","7.074","7.074","7.074","-0.06%"
"Sep 12, 2024","7.079","7.079","7.079","7.079","1.00%"
"Sep 11, 2024","7.008","7.008","7.008","7.008","0.68%"
"Sep 10, 2024","6.961","6.961","6.961","6.961","0.42%"
"Sep 09, 2024","6.932","6.932","6.932","6.932","1.41%"
"Sep 06, 2024","6.836","6.836","6.836","6.836","-1.28%"
"Sep 05, 2024","6.925","6.925","6.925","6.925","-1.45%"
"Sep 04, 2024","7.026","7.026","7.026","7.026","-0.74%"
"Sep 03, 2024","7.079","7.079","7.079","7.079","-1.53%"
"Sep 02, 2024","7.189","7.189","7.189","7.189","0.10%"
"Aug 30, 2024","7.182","7.182","7.182","7.182","0.59%"
"Aug 29, 2024","7.140","7.140","7.140","7.140","0.63%"
"Aug 28, 2024","7.095","7.095","7.095","7.095","-0.06%"
"Aug 27, 2024","7.099","7.099","7.099","7.099","0.18%"
"Aug 26, 2024","7.086","7.086","7.086","7.086","-0.70%"
"Aug 23, 2024","7.136","7.136","7.136","7.136","0.46%"
"Aug 22, 2024","7.104","7.104","7.104","7.104","-0.53%"
"Aug 21, 2024","7.142","7.142","7.142","7.142","0.33%"
"Aug 20, 2024","7.118","7.118","7.118","7.118","0.02%"
"Aug 19, 2024","7.117","7.117","7.117","7.117","0.22%"
"Aug 16, 2024","7.101","7.101","7.101","7.101","1.50%"
"Aug 14, 2024","6.996","6.996","6.996","6.996","-0.41%"
"Aug 13, 2024","7.025","7.025","7.025","7.025","1.54%"
"Aug 12, 2024","6.918","6.918","6.918","6.918","-0.36%"
"Aug 09, 2024","6.943","6.943","6.943","6.943","0.74%"
"Aug 08, 2024","6.892","6.892","6.892","6.892","2.17%"
"Aug 07, 2024","6.746","6.746","6.746","6.746","-0.64%"
"Aug 06, 2024","6.789","6.789","6.789","6.789","1.86%"
"Aug 05, 2024","6.666","6.666","6.666","6.666","-3.25%"
"Aug 02, 2024","6.890","6.890","6.890","6.890","-2.44%"
"Aug 01, 2024","7.062","7.062","7.062","7.062","-0.58%"
"Jul 31, 2024","7.103","7.103","7.103","7.103","1.68%"
"Jul 30, 2024","6.985","6.985","6.985","6.985","-0.26%"
"Jul 29, 2024","7.004","7.004","7.004","7.004","0.40%"
"Jul 26, 2024","6.975","6.975","6.975","6.975","1.24%"
"Jul 25, 2024","6.890","6.890","6.890","6.890","-1.22%"
"Jul 24, 2024","6.975","6.975","6.975","6.975","-2.20%"
"Jul 23, 2024","7.132","7.132","7.132","7.132","-0.05%"
"Jul 22, 2024","7.136","7.136","7.136","7.136","1.02%"
"Jul 19, 2024","7.064","7.064","7.064","7.064","-0.25%"
"Jul 18, 2024","7.081","7.081","7.081","7.081","-1.26%"
"Jul 17, 2024","7.172","7.172","7.172","7.172","-1.80%"
"Jul 16, 2024","7.304","7.304","7.304","7.304","0.26%"
"Jul 15, 2024","7.285","7.285","7.285","7.285","-0.16%"
"Jul 12, 2024","7.296","7.296","7.296","7.296","0.66%"
"Jul 11, 2024","7.249","7.249","7.249","7.249","-0.55%"
"Jul 10, 2024","7.289","7.289","7.289","7.289","0.62%"
"Jul 09, 2024","7.244","7.244","7.244","7.244","-0.09%"
"Jul 08, 2024","7.251","7.251","7.251","7.251","-0.22%"
"Jul 05, 2024","7.267","7.267","7.267","7.267","0.53%"
"Jul 04, 2024","7.229","7.229","7.229","7.229","-0.24%"
"Jul 03, 2024","7.246","7.246","7.246","7.246","-0.09%"
"Jul 02, 2024","7.253","7.253","7.253","7.253","0.75%"
"Jul 01, 2024","7.199","7.199","7.199","7.199","-0.60%"
"Jun 28, 2024","7.242","7.242","7.242","7.242","-0.66%"
"Jun 27, 2024","7.290","7.290","7.290","7.290","0.03%"
"Jun 26, 2024","7.288","7.288","7.288","7.288","-0.25%"
"Jun 25, 2024","7.306","7.306","7.306","7.306","0.38%"
"Jun 24, 2024","7.279","7.279","7.279","7.279","-0.37%"
"Jun 21, 2024","7.306","7.306","7.306","7.306","0.21%"
"Jun 20, 2024","7.290","7.290","7.290","7.290","0.23%"
