"Date","Price","Open","High","Low","Change %"
"Oct 28, 2024","157.793","157.793","157.793","157.793","0.15%"
"Oct 25, 2024","157.553","157.553","157.553","157.553","0.45%"
"Oct 24, 2024","156.842","156.842","156.842","156.842","-0.40%"
"Oct 23, 2024","157.471","157.471","157.471","157.471","-1.03%"
"Oct 22, 2024","159.115","159.115","159.115","159.115","0.25%"
"Oct 21, 2024","158.721","158.721","158.721","158.721","0.10%"
"Oct 18, 2024","158.570","158.570","158.570","158.570","0.66%"
"Oct 17, 2024","157.531","157.531","157.531","157.531","0.15%"
"Oct 16, 2024","157.296","157.296","157.296","157.296","0.19%"
"Oct 15, 2024","156.994","156.994","156.994","156.994","-0.85%"
"Oct 14, 2024","158.336","158.336","158.336","158.336","0.88%"
"Oct 11, 2024","156.959","156.959","156.959","156.959","0.40%"
"Oct 10, 2024","156.335","156.335","156.335","156.335","-0.01%"
"Oct 09, 2024","156.355","156.355","156.355","156.355","0.62%"
"Oct 08, 2024","155.385","155.385","155.385","155.385","0.02%"
"Oct 07, 2024","155.350","155.350","155.350","155.350","-0.71%"
"Oct 04, 2024","156.453","156.453","156.453","156.453","1.30%"
"Oct 03, 2024","154.452","154.452","154.452","154.452","-0.38%"
"Oct 02, 2024","155.041","155.041","155.041","155.041","0.43%"
"Oct 01, 2024","154.381","154.381","154.381","154.381","-0.49%"
"Sep 30, 2024","155.146","155.146","155.146","155.146","-0.22%"
"Sep 27, 2024","155.487","155.487","155.487","155.487","0.18%"
"Sep 26, 2024","155.208","155.208","155.208","155.208","1.90%"
"Sep 25, 2024","152.320","152.320","152.320","152.320","0.17%"
"Sep 24, 2024","152.058","152.058","152.058","152.058","0.43%"
"Sep 23, 2024","151.400","151.400","151.400","151.400","0.60%"
"Sep 20, 2024","150.503","150.503","150.503","150.503","-0.53%"
"Sep 19, 2024","151.303","151.303","151.303","151.303","1.58%"
"Sep 18, 2024","148.943","148.943","148.943","148.943","-0.59%"
"Sep 17, 2024","149.831","149.831","149.831","149.831","0.69%"
"Sep 16, 2024","148.806","148.806","148.806","148.806","-0.37%"
"Sep 13, 2024","149.363","149.363","149.363","149.363","0.06%"
"Sep 12, 2024","149.268","149.268","149.268","149.268","0.32%"
"Sep 11, 2024","148.789","148.789","148.789","148.789","1.31%"
"Sep 10, 2024","146.859","146.859","146.859","146.859","0.62%"
