"Date","Price","Open","High","Low","Change %"
"Oct 28, 2024","7.479","7.479","7.479","7.479","0.06%"
"Oct 25, 2024","7.475","7.475","7.475","7.475","0.37%"
"Oct 24, 2024","7.448","7.448","7.448","7.448","-0.30%"
"Oct 23, 2024","7.470","7.470","7.470","7.470","0.02%"
"Oct 22, 2024","7.469","7.469","7.469","7.469","0.30%"
"Oct 21, 2024","7.446","7.446","7.446","7.446","-0.56%"
"Oct 18, 2024","7.489","7.489","7.489","7.489","0.44%"
"Oct 17, 2024","7.456","7.456","7.456","7.456","1.04%"
"Oct 16, 2024","7.379","7.379","7.379","7.379","-0.27%"
"Oct 15, 2024","7.399","7.399","7.399","7.399","-0.52%"
"Oct 14, 2024","7.437","7.437","7.437","7.437","0.80%"
"Oct 11, 2024","7.379","7.379","7.379","7.379","0.47%"
"Oct 10, 2024","7.344","7.344","7.344","7.344","0.00%"
"Oct 09, 2024","7.344","7.344","7.344","7.344","0.74%"
"Oct 08, 2024","7.290","7.290","7.290","7.290","-0.12%"
"Oct 07, 2024","7.299","7.299","7.299","7.299","0.17%"
"Oct 04, 2024","7.287","7.287","7.287","7.287","0.58%"
"Oct 03, 2024","7.244","7.244","7.244","7.244","-0.19%"
"Oct 02, 2024","7.258","7.258","7.258","7.258","0.28%"
"Oct 01, 2024","7.238","7.238","7.238","7.238","0.24%"
"Sep 30, 2024","7.220","7.220","7.220","7.220","-0.99%"
"Sep 27, 2024","7.292","7.292","7.292","7.292","0.21%"
"Sep 26, 2024","7.277","7.277","7.277","7.277","1.41%"
"Sep 25, 2024","7.176","7.176","7.176","7.176","-0.54%"
"Sep 24, 2024","7.214","7.214","7.214","7.214","0.18%"
"Sep 23, 2024","7.201","7.201","7.201","7.201","0.58%"
"Sep 20, 2024","7.160","7.160","7.160","7.160","-0.86%"
"Sep 19, 2024","7.222","7.222","7.222","7.222","1.35%"
"Sep 18, 2024","7.125","7.125","7.125","7.125","-0.35%"
"Sep 17, 2024","7.150","7.150","7.150","7.150","0.27%"
"Sep 16, 2024","7.131","7.131","7.131","7.131","-0.49%"
"Sep 13, 2024","7.166","7.166","7.166","7.166","0.58%"
"Sep 12, 2024","7.125","7.125","7.125","7.125","1.29%"
"Sep 11, 2024","7.034","7.034","7.034","7.034","0.32%"
"Sep 10, 2024","7.012","7.012","7.012","7.012","-0.34%"
"Sep 09, 2024","7.036","7.036","7.036","7.036","1.51%"
"Sep 06, 2024","6.931","6.931","6.931","6.931","-2.43%"
"Sep 04, 2024","7.104","7.104","7.104","7.104","-1.06%"
"Sep 03, 2024","7.180","7.180","7.180","7.180","-0.58%"
"Sep 02, 2024","7.222","7.222","7.222","7.222","0.76%"
"Aug 30, 2024","7.167","7.167","7.167","7.167","-0.46%"
"Aug 29, 2024","7.201","7.201","7.201","7.201","1.31%"
"Aug 28, 2024","7.107","7.107","7.107","7.107","0.13%"
"Aug 27, 2024","7.098","7.098","7.098","7.098","-0.13%"
"Aug 26, 2024","7.107","7.107","7.107","7.107","0.14%"
"Aug 23, 2024","7.097","7.097","7.097","7.097","0.22%"
"Aug 22, 2024","7.082","7.082","7.082","7.082","-0.33%"
"Aug 21, 2024","7.105","7.105","7.105","7.105","0.07%"
"Aug 20, 2024","7.100","7.100","7.100","7.100","-0.08%"
"Aug 19, 2024","7.106","7.106","7.106","7.106","0.16%"
"Aug 16, 2024","7.095","7.095","7.095","7.095","2.07%"
"Aug 14, 2024","6.951","6.951","6.951","6.951","-0.23%"
"Aug 13, 2024","6.966","6.966","6.966","6.966","0.66%"
"Aug 12, 2024","6.921","6.921","6.921","6.921","0.24%"
"Aug 09, 2024","6.904","6.904","6.904","6.904","0.89%"
"Aug 08, 2024","6.843","6.843","6.843","6.843","0.02%"
"Aug 07, 2024","6.842","6.842","6.842","6.842","0.38%"
"Aug 06, 2024","6.816","6.816","6.816","6.816","1.29%"
"Aug 05, 2024","6.729","6.729","6.729","6.729","-2.80%"
"Aug 02, 2024","6.923","6.923","6.923","6.923","-2.46%"
"Aug 01, 2024","7.097","7.097","7.097","7.097","-0.35%"
"Jul 31, 2024","7.122","7.122","7.122","7.122","0.81%"
"Jul 30, 2024","7.065","7.065","7.065","7.065","-0.63%"
"Jul 29, 2024","7.110","7.110","7.110","7.110","0.39%"
"Jul 26, 2024","7.082","7.082","7.082","7.082","0.30%"
"Jul 25, 2024","7.061","7.061","7.061","7.061","0.01%"
"Jul 24, 2024","7.060","7.060","7.060","7.060","-2.09%"
"Jul 23, 2024","7.211","7.211","7.211","7.211","0.68%"
"Jul 22, 2024","7.162","7.162","7.162","7.162","0.60%"
"Jul 19, 2024","7.120","7.120","7.120","7.120","-0.29%"
"Jul 18, 2024","7.140","7.140","7.140","7.140","-0.82%"
"Jul 17, 2024","7.199","7.199","7.199","7.199","-1.16%"
"Jul 16, 2024","7.284","7.284","7.284","7.284","-0.19%"
"Jul 15, 2024","7.297","7.297","7.297","7.297","-0.34%"
"Jul 12, 2024","7.322","7.322","7.322","7.322","0.61%"
"Jul 11, 2024","7.278","7.278","7.278","7.278","-0.34%"
"Jul 10, 2024","7.303","7.303","7.303","7.303","0.23%"
"Jul 09, 2024","7.287","7.287","7.287","7.287","-0.32%"
"Jul 08, 2024","7.310","7.310","7.310","7.310","-0.40%"
"Jul 05, 2024","7.340","7.340","7.340","7.340","0.54%"
"Jul 04, 2024","7.300","7.300","7.300","7.300","-0.17%"
"Jul 03, 2024","7.313","7.313","7.313","7.313","0.60%"
"Jul 02, 2024","7.269","7.269","7.269","7.269","0.13%"
"Jul 01, 2024","7.259","7.259","7.259","7.259","-0.70%"
"Jun 28, 2024","7.311","7.311","7.311","7.311","-0.35%"
"Jun 27, 2024","7.336","7.336","7.336","7.336","0.03%"
"Jun 26, 2024","7.334","7.334","7.334","7.334","0.24%"
"Jun 25, 2024","7.316","7.316","7.316","7.316","-0.02%"
"Jun 24, 2024","7.317","7.317","7.317","7.317","0.12%"
"Jun 21, 2024","7.308","7.308","7.308","7.308","0.50%"
"Jun 20, 2024","7.272","7.272","7.272","7.272","0.86%"
"Jun 19, 2024","7.210","7.210","7.210","7.210","-0.39%"
"Jun 18, 2024","7.238","7.238","7.238","7.238","0.28%"
"Jun 17, 2024","7.218","7.218","7.218","7.218","0.20%"
"Jun 14, 2024","7.203","7.203","7.203","7.203","0.42%"
"Jun 13, 2024","7.173","7.173","7.173","7.173","-1.20%"
"Jun 12, 2024","7.261","7.261","7.261","7.261","0.97%"
"Jun 11, 2024","7.191","7.191","7.191","7.191","0.22%"
"Jun 07, 2024","7.175","7.175","7.175","7.175","0.14%"
"Jun 06, 2024","7.165","7.165","7.165","7.165","0.73%"
"Jun 05, 2024","7.113","7.113","7.113","7.113","1.61%"
"Jun 04, 2024","7.000","7.000","7.000","7.000","0.14%"
"Jun 03, 2024","6.991","6.991","6.991","6.991","0.63%"
"May 31, 2024","6.947","6.947","6.947","6.947","-1.80%"
"May 29, 2024","7.075","7.075","7.075","7.075","-0.52%"
"May 28, 2024","7.111","7.111","7.111","7.111","-0.99%"
"May 27, 2024","7.182","7.182","7.182","7.182","0.17%"
"May 24, 2024","7.170","7.170","7.170","7.170","-0.22%"
"May 23, 2024","7.186","7.186","7.186","7.186","-0.17%"
"May 22, 2024","7.198","7.198","7.198","7.198","0.44%"
"May 21, 2024","7.167","7.167","7.167","7.167","-0.33%"
"May 20, 2024","7.191","7.191","7.191","7.191","0.29%"
"May 17, 2024","7.170","7.170","7.170","7.170","-0.11%"
"May 16, 2024","7.178","7.178","7.178","7.178","-0.07%"
"May 15, 2024","7.183","7.183","7.183","7.183","0.90%"
"May 14, 2024","7.118","7.118","7.118","7.118","-0.14%"
"May 13, 2024","7.129","7.129","7.129","7.129","-0.06%"
"May 10, 2024","7.133","7.133","7.133","7.133","0.10%"
"May 09, 2024","7.126","7.126","7.126","7.126","0.32%"
"May 08, 2024","7.103","7.103","7.103","7.103","0.09%"
"May 07, 2024","7.097","7.097","7.097","7.097","1.15%"
"May 06, 2024","7.016","7.016","7.016","7.016","0.13%"
"May 03, 2024","7.007","7.007","7.007","7.007","1.14%"
"May 02, 2024","6.928","6.928","6.928","6.928","-0.25%"
"Apr 30, 2024","6.946","6.946","6.946","6.946","-1.07%"
"Apr 29, 2024","7.021","7.021","7.021","7.021","-0.41%"
"Apr 26, 2024","7.050","7.050","7.050","7.050","0.31%"
"Apr 24, 2024","7.028","7.028","7.028","7.028","-0.69%"
"Apr 23, 2024","7.077","7.077","7.077","7.077","2.02%"
"Apr 19, 2024","6.937","6.937","6.937","6.937","-1.13%"
"Apr 18, 2024","7.016","7.016","7.016","7.016","-0.06%"
"Apr 17, 2024","7.020","7.020","7.020","7.020","-0.49%"
"Apr 16, 2024","7.054","7.054","7.054","7.054","-0.75%"
"Apr 15, 2024","7.108","7.108","7.108","7.108","-0.07%"
"Apr 12, 2024","7.113","7.113","7.113","7.113","-0.10%"
"Apr 11, 2024","7.120","7.120","7.120","7.120","1.01%"
"Apr 10, 2024","7.049","7.049","7.049","7.049","-0.40%"
"Apr 09, 2024","7.077","7.077","7.077","7.077","-0.77%"
"Apr 08, 2024","7.132","7.132","7.132","7.132","0.19%"
"Apr 05, 2024","7.119","7.119","7.119","7.119","-0.65%"
"Apr 04, 2024","7.165","7.165","7.165","7.165","-0.05%"
"Apr 03, 2024","7.168","7.168","7.168","7.168","0.10%"
"Apr 02, 2024","7.161","7.161","7.161","7.161","-0.34%"
"Apr 01, 2024","7.186","7.186","7.186","7.186","0.07%"
