"Date","Price","Open","High","Low","Change %"
"Nov 12, 2024","18.975","18.975","18.975","18.975","-0.37%"
"Nov 11, 2024","19.045","19.045","19.045","19.045","0.95%"
"Nov 08, 2024","18.867","18.867","18.867","18.867","0.33%"
"Nov 07, 2024","18.805","18.805","18.805","18.805","0.15%"
"Nov 06, 2024","18.777","18.777","18.777","18.777","1.59%"
"Nov 05, 2024","18.483","18.483","18.483","18.483","0.31%"
"Nov 04, 2024","18.426","18.426","18.426","18.426","-0.04%"
"Oct 31, 2024","18.433","18.433","18.433","18.433","-1.01%"
"Oct 30, 2024","18.621","18.621","18.621","18.621","-0.64%"
"Oct 29, 2024","18.740","18.740","18.740","18.740","0.28%"
"Oct 28, 2024","18.688","18.688","18.688","18.688","0.15%"
"Oct 25, 2024","18.661","18.661","18.661","18.661","-0.09%"
"Oct 24, 2024","18.678","18.678","18.678","18.678","0.08%"
"Oct 23, 2024","18.663","18.663","18.663","18.663","-0.25%"
"Oct 22, 2024","18.711","18.711","18.711","18.711","-0.16%"
"Oct 21, 2024","18.742","18.742","18.742","18.742","-0.44%"
"Oct 18, 2024","18.824","18.824","18.824","18.824","0.21%"
"Oct 17, 2024","18.784","18.784","18.784","18.784","0.21%"
"Oct 16, 2024","18.745","18.745","18.745","18.745","0.03%"
"Oct 15, 2024","18.740","18.740","18.740","18.740","-0.33%"
"Oct 14, 2024","18.802","18.802","18.802","18.802","0.22%"
"Oct 11, 2024","18.760","18.760","18.760","18.760","0.45%"
"Oct 10, 2024","18.677","18.677","18.677","18.677","0.01%"
"Oct 09, 2024","18.675","18.675","18.675","18.675","0.48%"
"Oct 07, 2024","18.586","18.586","18.586","18.586","-0.11%"
"Oct 04, 2024","18.607","18.607","18.607","18.607","0.31%"
"Oct 03, 2024","18.549","18.549","18.549","18.549","-0.24%"
"Oct 02, 2024","18.595","18.595","18.595","18.595","0.03%"
"Oct 01, 2024","18.589","18.589","18.589","18.589","0.05%"
"Sep 30, 2024","18.580","18.580","18.580","18.580","-0.10%"
"Sep 26, 2024","18.600","18.600","18.600","18.600","0.90%"
"Sep 25, 2024","18.433","18.433","18.433","18.433","-0.26%"
